,Original Index,Sample Mean,Sample Mean Rank,Sample Standard Deviation,Sample Standard Deviation Rank
1,1,64.73333333333333,389,52.32653883706304,440
2,2,64.73333333333333,390,28.636806153387052,61
3,3,69.33333333333333,447,38.038827281507785,181
4,4,57.46666666666667,278,48.46628676080882,381
5,5,48.53333333333333,112,23.335646143879988,10
6,6,64.66666666666667,388,49.1625099130667,401
7,7,47.733333333333334,96,26.086303649525323,36
8,8,58.8,299,54.789467183809286,468
9,9,53.0,198,47.10019714851066,355
10,10,67.06666666666666,426,49.924895974806375,410
11,11,47.06666666666667,91,32.74461060708348,119
12,12,52.6,189,44.9647480970212,326
13,13,61.266666666666666,336,33.03562290849653,123
14,14,57.06666666666667,271,44.467430563867545,315
15,15,59.86666666666667,314,51.18574950492522,423
16,16,70.0,452,39.78154633208001,200
17,17,50.2,137,32.10963362339364,112
18,18,52.666666666666664,191,30.25290226140453,90
19,19,65.13333333333334,397,53.71467831670098,452
20,20,70.6,456,56.40643327037896,482
21,21,36.266666666666666,8,30.795330505652657,98
22,22,48.13333333333333,103,30.591470955776142,94
23,23,49.2,122,34.637304415079086,140
24,24,51.4,164,35.02815194342158,145
25,25,50.53333333333333,141,32.330584075557105,115
26,26,55.06666666666667,233,52.579825933889275,444
27,27,60.666666666666664,324,27.60089715588107,50
28,28,47.93333333333333,99,28.366143467840235,59
29,29,51.46666666666667,168,34.271743185201146,136
30,30,48.53333333333333,113,28.39483521112011,60
31,31,55.4,244,54.94386745969537,471
32,32,44.8,65,33.96889333324997,132
33,33,52.4,186,54.42924634002254,464
34,34,51.13333333333333,155,25.834270336309558,31
35,35,68.53333333333333,439,48.846503993437985,391
36,36,59.13333333333333,305,45.420050114249676,334
37,37,44.4,55,44.87251783823655,324
38,38,75.4,475,46.41551464758309,347
39,39,58.0,287,32.427942095844266,117
40,40,52.46666666666667,187,25.079492665940283,21
41,41,55.6,248,51.022124052778736,422
42,42,44.6,60,48.86979785979417,392
43,43,57.86666666666667,284,37.65608785284197,178
44,44,37.46666666666667,12,29.30106450203441,72
45,45,44.53333333333333,59,30.57278590667259,93
46,46,47.0,88,41.30721140776407,244
47,47,65.86666666666666,409,36.51001167325139,163
48,48,54.266666666666666,219,30.386713888678074,92
49,49,67.13333333333334,427,49.31656729258242,404
50,50,46.733333333333334,84,42.79931018580734,279
51,51,83.4,496,55.24077169213747,477
52,52,46.6,81,46.768121010546736,349
53,53,43.2,40,31.675136711848392,107
54,54,70.86666666666666,458,40.59885055844151,226
55,55,53.666666666666664,213,40.88776741043125,235
56,56,53.266666666666666,203,37.48802983556726,174
57,57,49.4,126,44.10183021793346,302
58,58,77.73333333333333,487,45.55760351571666,337
59,59,58.666666666666664,294,42.722805329684235,277
60,60,89.53333333333333,499,40.74987583971736,232
61,61,37.266666666666666,10,48.129982735247665,373
62,62,70.86666666666666,457,51.96546472234732,434
63,63,59.06666666666667,304,35.75405404918974,155
64,64,44.2,53,43.82628043928502,298
65,65,42.4,34,30.7566485263175,97
66,66,59.93333333333333,316,41.92760200063688,261
67,67,50.666666666666664,143,36.52526848765438,164
68,68,68.46666666666667,438,58.22108928983757,491
69,69,57.0,267,43.77213725647858,296
70,70,60.666666666666664,325,37.16885537010535,169
71,71,74.26666666666667,470,48.93795877970198,394
72,72,51.46666666666667,166,31.575005184179343,106
73,73,66.13333333333334,413,48.38811345578089,379
74,74,54.733333333333334,224,49.88052392133293,409
75,75,40.86666666666667,24,20.23387070754194,1
76,76,64.2,382,63.211888574403915,499
77,77,65.4,404,38.71470743049173,189
78,78,63.666666666666664,372,48.63518224887157,387
79,79,60.6,323,37.599012145077886,177
80,80,48.06666666666667,102,26.181963984683005,37
81,81,43.0,37,35.9722114972099,158
82,82,53.53333333333333,209,32.37694653092948,116
83,83,51.6,170,29.637813684548327,78
84,84,36.2,7,34.853161365116605,144
85,85,76.73333333333333,483,53.327112732464265,449
86,86,66.73333333333333,421,37.1953658147791,170
87,87,65.0,396,44.11996632559264,304
88,88,62.93333333333333,361,41.755182170543065,255
89,89,53.8,214,46.2928565917958,345
90,90,37.8,14,25.5628078046435,27
91,91,52.86666666666667,195,27.351852030965095,45
92,92,63.733333333333334,374,50.04493219193366,413
93,93,41.93333333333333,30,33.42041007414196,128
94,94,50.8,145,48.6124616592436,385
95,95,53.2,202,28.16076297667681,55
96,96,58.733333333333334,298,42.15865724797673,265
97,97,74.06666666666666,468,47.03109407109098,354
98,98,40.06666666666667,21,23.535586024652318,11
99,99,63.0,363,39.5709128383102,196
100,100,44.46666666666667,58,35.33283916994959,149
101,101,66.53333333333333,416,25.483514745998512,25
102,102,68.13333333333334,435,47.66679986661376,363
103,103,61.266666666666666,338,41.88498992422441,260
104,104,45.266666666666666,70,36.358270166824624,161
105,105,73.33333333333333,467,49.008259750877954,397
106,106,51.266666666666666,160,45.513681878037936,335
107,107,52.06666666666667,176,44.37738591841999,313
108,108,55.46666666666667,245,28.185271398542962,57
109,109,52.13333333333333,178,42.14916821186844,263
110,110,50.06666666666667,136,44.25650342309134,309
111,111,45.8,74,35.5270520670014,152
112,112,56.6,263,40.26838533071394,213
113,113,66.0,411,48.48121874941441,382
114,114,52.8,193,34.61873976413848,139
115,115,48.4,108,25.66765613429811,28
116,116,38.266666666666666,18,26.031482770639386,35
117,117,54.06666666666667,217,33.06803952603235,124
118,118,51.46666666666667,165,31.57500518417934,105
119,119,62.6,356,37.901752692228584,180
120,120,52.266666666666666,183,30.30904312640198,91
121,121,41.733333333333334,27,24.3500268895911,14
122,122,57.13333333333333,272,26.975826921435385,42
123,123,49.46666666666667,128,55.58631212122365,479
124,124,51.8,173,57.6345630428726,488
125,125,38.333333333333336,19,26.026543227654194,34
126,126,50.8,144,24.971984302413777,19
127,127,61.0,329,39.73843048162392,198
128,128,69.13333333333334,444,54.86199135319547,470
129,129,57.0,268,40.24922359499622,212
130,130,61.0,330,40.37502764262654,218
131,131,61.2,334,29.191975413997397,71
132,132,49.93333333333333,134,42.38002674216554,269
133,133,46.666666666666664,83,27.549090383393438,49
134,134,45.6,72,44.48884290310485,317
135,135,63.733333333333334,375,40.5470919631318,225
136,136,63.2,367,40.965490703413145,237
137,137,37.0,9,25.85122268454075,32
138,138,49.333333333333336,125,31.92774580801082,111
139,139,51.0,149,33.85051170746379,131
140,140,67.66666666666667,430,38.319459186958156,182
141,141,52.8,194,30.126400382388866,87
142,142,62.46666666666667,353,42.860015776723095,280
143,143,69.66666666666667,448,48.94846658428005,395
144,144,51.0,152,35.50653863324734,151
145,145,56.266666666666666,257,39.24914315109615,192
146,146,67.46666666666667,429,48.525202092265815,383
147,147,37.53333333333333,13,22.248167393764195,4
148,148,63.0,365,43.03320976707574,283
149,149,66.53333333333333,417,43.621532472370745,295
150,150,65.2,398,54.74642845493602,467
151,151,52.666666666666664,190,44.795833139552904,322
152,152,43.333333333333336,43,28.89801443170859,67
153,153,51.733333333333334,171,34.63991641912274,141
154,154,55.06666666666667,234,42.18237049944421,266
155,155,77.73333333333333,486,65.00490823959446,500
156,156,66.66666666666667,420,47.1815137325546,357
157,157,41.733333333333334,28,44.85447368461488,323
158,158,62.93333333333333,362,40.45185262694875,220
159,159,48.733333333333334,117,46.197505601596326,344
160,160,62.13333333333333,349,52.69842321667518,445
161,161,61.266666666666666,337,45.08478784732268,327
162,162,62.06666666666667,347,37.72166233775772,179
163,163,69.93333333333334,450,34.011482654846915,135
164,164,51.2,158,45.538366869518455,336
165,165,51.333333333333336,161,48.885678105243905,393
166,166,45.0,68,24.914138269550598,18
167,167,65.26666666666667,400,44.16117665789176,305
168,168,58.86666666666667,302,51.606847090930344,429
169,169,53.2,201,41.1585783455718,241
170,170,44.6,61,27.756080414928903,52
171,171,51.0,147,43.8047616459346,297
172,172,62.53333333333333,355,40.45609024726979,221
173,173,57.733333333333334,283,50.87023640972148,421
174,174,81.73333333333333,495,54.30004823289974,459
175,175,58.2,290,35.331491416501024,148
176,176,51.333333333333336,163,27.28596359896072,44
177,177,42.666666666666664,36,26.914326155060103,40
178,178,43.53333333333333,45,48.37039629872013,378
179,179,58.8,300,22.77279078198366,5
180,180,47.6,95,32.82594792451327,120
181,181,47.93333333333333,98,27.44466293853003,47
182,182,47.06666666666667,89,31.20775239461839,102
183,183,76.8,484,57.25407034812958,486
184,184,70.0,451,49.097570495610356,399
185,185,63.266666666666666,368,54.41568401358809,463
186,186,43.6,47,30.20595967685847,89
187,187,50.0,135,40.128365457438136,209
188,188,78.06666666666666,490,44.523615991430674,318
189,189,67.93333333333334,433,51.36628503303736,426
190,190,59.6,308,40.067443142781144,208
191,191,44.4,56,31.022572427185985,100
192,192,63.6,371,42.46477531857602,274
193,193,75.46666666666667,477,57.52995079169839,487
194,194,55.2,238,34.47400677114778,138
195,195,59.8,311,39.89128082318599,202
196,196,52.13333333333333,179,49.216528389014464,402
197,197,63.8,377,51.347833449912955,425
198,198,54.733333333333334,225,46.95965847202813,352
199,199,42.333333333333336,33,29.163741349899013,70
200,200,49.2,121,39.846491152206326,201
201,201,57.666666666666664,282,41.52566618828592,249
202,202,43.86666666666667,49,28.670210190735478,63
203,203,56.86666666666667,265,56.54058803406712,485
204,204,50.333333333333336,140,54.977484568901566,472
205,205,57.266666666666666,274,37.41364660629798,173
206,206,68.93333333333334,441,60.13373983602439,495
207,207,70.53333333333333,455,47.37218392183128,361
208,208,75.73333333333333,479,54.493075138913184,465
209,209,78.46666666666667,492,40.193934628901175,210
210,210,83.6,497,62.7373208590503,498
211,211,48.0,100,29.503026479135517,77
212,212,53.4,206,52.24502710443222,437
213,213,64.06666666666666,381,38.45677846002977,183
214,214,46.06666666666667,78,45.26661757483838,331
215,215,54.93333333333333,229,50.433076825583804,417
216,216,57.53333333333333,280,32.93254288621486,122
217,217,67.13333333333334,428,25.07379584536889,20
218,218,48.2,104,28.97585201508318,68
219,219,59.53333333333333,307,45.56920430457812,338
220,220,62.46666666666667,352,50.03693873625003,412
221,221,44.06666666666667,52,39.708701217503354,197
222,222,56.06666666666667,254,44.26941328254704,310
223,223,66.8,422,60.59608662517501,496
224,224,57.53333333333333,279,52.042381995922554,435
225,225,43.266666666666666,42,25.45995922639162,24
226,226,67.73333333333333,431,47.90834503308921,370
227,227,52.333333333333336,185,41.06730828193892,238
228,228,58.13333333333333,289,58.29955484596855,492
229,229,59.733333333333334,310,43.924393916733564,301
230,230,64.86666666666666,394,41.088522322744424,240
231,231,48.53333333333333,110,31.121574204277984,101
232,232,61.266666666666666,335,35.234858281185666,147
233,233,62.06666666666667,348,49.489489023524214,406
234,234,48.0,101,30.057088538788506,86
235,235,37.93333333333333,16,26.93501880629078,41
236,236,65.6,407,49.232393517160745,403
237,237,74.6,474,35.63064491617935,154
238,238,37.8,15,22.99130270341374,8
239,239,51.0,150,30.17094155451093,88
240,240,52.06666666666667,175,40.002618961882035,205
241,241,55.86666666666667,253,48.164697603515535,374
242,242,77.46666666666667,485,50.32730963640016,416
243,243,70.4,454,49.66717800951219,407
244,244,87.46666666666667,498,50.848327218821865,420
245,245,71.13333333333334,459,48.68391736008731,389
246,246,55.333333333333336,239,49.45657065499367,405
247,247,47.06666666666667,90,55.042148352313575,474
248,248,49.733333333333334,132,48.10623165255748,372
249,249,51.8,172,51.86961676026865,432
250,250,50.333333333333336,138,46.36911944489822,346
251,251,64.4,386,53.35434110066129,450
252,252,42.06666666666667,31,25.68898225940081,29
253,253,55.13333333333333,236,43.296101221153634,285
254,254,51.06666666666667,153,45.84518461497295,339
255,255,69.06666666666666,443,59.455225249962766,493
256,256,64.8,391,55.53274452326046,478
257,257,63.93333333333333,379,43.20626056928501,284
258,258,72.8,465,40.30987117674422,215
259,259,65.2,399,41.068235900754246,239
260,260,62.46666666666667,354,40.634022807541584,227
261,261,57.4,275,47.246768596986,358
262,262,54.06666666666667,216,40.28552853722798,214
263,263,60.13333333333333,318,53.06177890866816,447
264,264,51.0,151,28.673033622950626,64
265,265,38.333333333333336,20,27.724838442571073,51
266,266,59.86666666666667,315,55.805615010200064,480
267,267,49.53333333333333,130,29.909068540367166,82
268,268,44.2,54,40.813513168347285,234
269,269,64.26666666666667,383,37.541342290232265,175
270,270,55.6,249,36.827396634260516,166
271,271,64.26666666666667,384,41.73293777387467,254
272,272,56.6,264,43.403094030593856,287
273,273,74.46666666666667,472,53.87534112144795,454
274,274,55.733333333333334,251,32.25892272283895,113
275,275,52.2,180,43.500738909980434,291
276,276,55.6,247,27.84343985317085,53
277,277,48.8,118,43.5220797822373,293
278,278,52.93333333333333,196,43.6061376195512,294
279,279,48.666666666666664,116,33.672088200904966,130
280,280,43.46666666666667,44,22.912462817884776,7
281,281,55.0,231,54.26917041141183,458
282,282,59.86666666666667,313,24.7815215336712,17
283,283,52.733333333333334,192,39.56995011850472,195
284,284,61.86666666666667,345,42.380700908831244,270
285,285,59.6,309,35.59855534789499,153
286,286,44.46666666666667,57,34.78478047050107,143
287,287,53.93333333333333,215,48.0468025793105,371
288,288,61.4,339,41.3518007899466,245
289,289,76.33333333333333,481,44.47899450730595,316
290,290,65.8,408,48.296997836304485,377
291,291,75.8,480,49.02943722179273,398
292,292,64.93333333333334,395,37.13963355974828,167
293,293,57.4,276,52.3174376829971,439
294,294,58.93333333333333,303,55.039552877475124,473
295,295,58.6,293,57.719518857513506,489
296,296,75.73333333333333,478,48.19227363483942,375
297,297,48.266666666666666,105,41.418537372718006,247
298,298,51.13333333333333,156,51.895315872666295,433
299,299,53.06666666666667,199,31.528822792274795,104
300,300,77.93333333333334,488,51.72104665092023,430
301,301,69.2,446,48.457934629649955,380
302,302,58.86666666666667,301,48.638413194667834,388
303,303,32.2,2,30.655225609067976,96
304,304,57.46666666666667,277,37.33222787478988,171
305,305,52.266666666666666,184,44.44493650521262,314
306,306,72.4,464,52.27099714810444,438
307,307,59.2,306,51.20156247615887,424
308,308,49.46666666666667,127,29.303502147273083,73
309,309,53.666666666666664,212,44.885038338701094,325
310,310,55.4,242,44.176270294614696,306
311,311,67.8,432,42.31716976763518,267
312,312,46.93333333333333,87,33.4844669034692,129
313,313,47.333333333333336,93,29.781745767372016,81
314,314,56.13333333333333,255,52.46885697612396,442
315,315,66.6,419,53.08995062290845,448
316,316,77.93333333333334,489,47.79041545669811,365
317,317,55.733333333333334,250,40.68953299361023,229
318,318,62.0,346,31.726509870633873,108
319,319,49.46666666666667,129,40.31459619873014,216
320,320,49.0,119,28.22612771377409,58
321,321,55.06666666666667,232,43.90650239293666,299
322,322,60.733333333333334,327,42.42382529170315,272
323,323,52.2,181,44.28995371413251,311
324,324,69.0,442,53.894076006286895,455
325,325,32.4,3,22.856071403458646,6
326,326,61.8,344,53.71512157404361,453
327,327,33.0,5,36.72290060127915,165
328,328,59.93333333333333,317,25.12956899939269,22
329,329,69.13333333333334,445,40.339393484120045,217
330,330,35.733333333333334,6,40.91361398756909,236
331,331,61.0,331,47.25462940284264,359
332,332,62.266666666666666,351,41.722667129283,253
333,333,49.266666666666666,124,43.4847537594938,290
334,334,63.666666666666664,373,52.70357356637847,446
335,335,54.666666666666664,223,23.129037614055214,9
336,336,61.666666666666664,341,42.437629304102046,273
337,337,54.46666666666667,222,27.869252557168412,54
338,338,69.73333333333333,449,48.76396015013352,390
339,339,64.53333333333333,387,59.78039175260763,494
340,340,63.733333333333334,376,36.00092591401875,159
341,341,44.06666666666667,50,42.98914591692496,281
342,342,44.666666666666664,62,45.35993617195476,333
343,343,74.46666666666667,473,58.09089757399502,490
344,344,58.4,292,37.15373467095872,168
345,345,76.6,482,51.57491084404731,428
346,346,51.2,157,29.95997329771841,83
347,347,55.53333333333333,246,56.464738259082246,483
348,348,58.266666666666666,291,40.45008682079093,219
349,349,75.46666666666667,476,50.59484257548486,418
350,350,54.2,218,45.16983822988837,328
351,351,45.13333333333333,69,47.63382151770896,362
352,352,54.4,221,48.61628181116752,386
353,353,66.6,418,40.72170358490842,231
354,354,60.266666666666666,319,53.92914222340627,456
355,355,55.13333333333333,235,47.90297734061254,369
356,356,46.06666666666667,79,28.681668278503174,65
357,357,58.0,286,41.65676072723027,250
358,358,68.06666666666666,434,44.220981876200334,308
359,359,65.53333333333333,406,47.8298571824675,366
360,360,90.0,500,54.556654694258626,466
361,361,66.0,410,54.81397110747796,469
362,362,44.666666666666664,63,34.404457075598025,137
363,363,43.2,41,31.280299596665355,103
364,364,40.6,23,30.960343298207423,99
365,365,49.733333333333334,131,35.139450086490434,146
366,366,53.46666666666667,207,38.45752140194363,184
367,367,44.86666666666667,67,21.90846759545159,3
368,368,62.733333333333334,357,52.45197349775816,441
369,369,48.53333333333333,114,33.13795119683486,125
370,370,53.6,210,49.736161032851285,408
371,371,55.4,243,29.154269474151267,69
372,372,38.266666666666666,17,26.751412957787768,39
373,373,64.26666666666667,385,29.984440409430135,84
374,374,65.53333333333333,405,41.86008440826017,259
375,375,50.53333333333333,142,40.06043054234559,207
376,376,78.13333333333334,491,60.68992228258879,497
377,377,53.333333333333336,204,43.453861683837665,288
378,378,61.06666666666667,333,41.76886514185052,257
379,379,43.6,48,33.97015496831636,133
380,380,49.266666666666666,123,42.341244105256905,268
381,381,55.2,237,31.75396488179525,109
382,382,48.333333333333336,106,28.80145498970164,66
383,383,45.93333333333333,76,46.92770529026029,351
384,384,51.266666666666666,159,29.68036067037949,79
385,385,41.6,26,25.502941006872128,26
386,386,68.2,436,42.58302814167032,276
387,387,66.46666666666667,415,56.02915907513397,481
388,388,63.86666666666667,378,46.16873813472034,342
389,389,55.4,240,29.441952575000375,76
390,390,58.06666666666667,288,43.46010759743874,289
391,391,70.2,453,39.76035354829877,199
392,392,58.0,285,50.08564094200481,415
393,393,56.93333333333333,266,44.10614901521534,303
394,394,57.2,273,31.774203373176803,110
395,395,56.53333333333333,260,41.69937763610022,252
396,396,61.733333333333334,342,39.31278720842924,194
397,397,63.46666666666667,370,38.611372615307204,187
398,398,48.4,107,46.18410363503257,343
399,399,52.93333333333333,197,33.24254302346117,127
400,400,43.0,38,36.408397775395564,162
401,401,47.4,94,45.21662146979644,329
402,402,45.666666666666664,73,42.769593115180506,278
403,403,53.333333333333336,205,43.302369890056106,286
404,404,73.26666666666667,466,49.15204786704019,400
405,405,54.8,226,46.47918120744261,348
406,406,68.73333333333333,440,51.51763452126531,427
407,407,49.13333333333333,120,32.321745591710204,114
408,408,40.53333333333333,22,23.89221829881217,13
409,409,81.6,494,46.012110207143145,341
410,410,71.66666666666667,461,48.281417109434955,376
411,411,50.93333333333333,146,50.049213875182986,414
412,412,63.06666666666667,366,39.01733436502782,191
413,413,51.06666666666667,154,38.527293973913885,185
414,414,74.13333333333334,469,53.94423928818491,457
415,415,65.33333333333333,401,39.91896553674468,204
416,416,52.13333333333333,177,35.770831426630004,156
417,417,56.53333333333333,262,52.12603773090574,436
418,418,43.2,39,24.53044755284455,15
419,419,37.266666666666666,11,25.155137693539913,23
420,420,62.93333333333333,360,41.758603333695824,256
421,421,52.266666666666666,182,20.36266424705017,2
422,422,45.93333333333333,75,27.206791869118337,43
423,423,58.666666666666664,295,37.35479825110761,172
424,424,41.86666666666667,29,28.17513256824349,56
425,425,53.53333333333333,208,48.584045980234336,384
426,426,54.93333333333333,230,33.24039424441006,126
427,427,32.666666666666664,4,29.307889397777885,74
428,428,50.333333333333336,139,27.434771124736336,46
429,429,54.266666666666666,220,41.8150121140152,258
430,430,48.46666666666667,109,45.866057581780865,340
431,431,46.6,82,51.760161183233244,431
432,432,74.26666666666667,471,40.465976302262106,222
433,433,53.6,211,43.00298992927286,282
434,434,46.86666666666667,85,29.700569178448575,80
435,435,63.0,364,38.95235184537275,190
436,436,48.53333333333333,111,47.01499254290618,353
437,437,44.86666666666667,66,42.15764066769708,264
438,438,60.46666666666667,320,41.659961365229094,251
439,439,54.8,228,29.30918919773407,75
440,440,60.86666666666667,328,47.897012532347034,367
441,441,64.8,393,37.56366025068073,176
442,442,56.53333333333333,261,42.57911403940848,275
443,443,55.86666666666667,252,42.390812122215266,271
444,444,66.46666666666667,414,41.21869663612561,242
445,445,64.0,380,43.91550328268399,300
446,446,71.4,460,47.16808848605773,356
447,447,63.333333333333336,369,40.75653613955972,233
448,448,54.8,227,45.285128432443,332
449,449,56.46666666666667,259,54.308466410031535,461
450,450,60.666666666666664,326,44.180905162212106,307
451,451,66.86666666666666,424,47.36766025565584,360
452,452,49.86666666666667,133,40.05864748210101,206
453,453,51.333333333333336,162,30.59333883302672,95
454,454,48.6,115,23.748082629370916,12
455,455,51.46666666666667,167,34.6881343785835,142
456,456,52.53333333333333,188,55.14638528066739,475
457,457,62.733333333333334,358,50.608393807841054,419
458,458,32.0,1,27.498051879048763,48
459,459,62.266666666666666,350,43.506102472882496,292
460,460,61.6,340,38.56126850314223,186
461,461,67.06666666666666,425,44.31940346856582,312
462,462,60.6,322,55.17608177462406,476
463,463,47.333333333333336,92,26.59931971919225,38
464,464,53.06666666666667,200,40.680754780655306,228
465,465,44.666666666666664,64,30.030143586228885,85
466,466,51.53333333333333,169,25.812141845779994,30
467,467,66.0,412,39.270126777779275,193
468,468,68.26666666666667,437,44.666169151458085,321
469,469,43.53333333333333,46,32.629668065967785,118
470,470,41.266666666666666,25,28.639300337290432,62
471,471,61.06666666666667,332,53.438170769947725,451
472,472,56.46666666666667,258,32.87610219046801,121
473,473,47.93333333333333,97,41.41508811785294,246
474,474,42.13333333333333,32,24.636983426973206,16
475,475,58.666666666666664,296,49.953788168475796,411
476,476,66.86666666666666,423,47.70574488715269,364
477,477,44.06666666666667,51,40.467741415083886,223
478,478,72.13333333333334,463,40.2401126572313,211
479,479,51.0,148,33.97478056273086,134
480,480,42.6,35,35.86243557978579,157
481,481,65.4,403,38.613099183715214,188
482,482,57.6,281,41.45014216760041,248
483,483,60.6,321,52.55853879247406,443
484,484,55.4,241,47.89840438738165,368
485,485,56.2,256,40.708370497619136,230
486,486,58.666666666666664,297,54.30688810121692,460
487,487,81.33333333333333,493,45.2621990922521,330
488,488,45.53333333333333,71,42.00147389704092,262
489,489,57.06666666666667,270,40.54356856988482,224
490,490,62.86666666666667,359,54.33607939306556,462
491,491,59.8,312,44.53602073442511,319
492,492,65.33333333333333,402,44.59927396376804,320
493,493,71.8,462,36.10144437158001,160
494,494,61.733333333333334,343,46.788989343749705,350
495,495,46.93333333333333,86,48.949633978883504,396
496,496,57.06666666666667,269,56.49332029625483,484
497,497,64.8,392,39.918130503032614,203
498,498,45.93333333333333,77,25.880126591285297,33
499,499,46.46666666666667,80,35.38132410238621,150
500,500,51.93333333333333,174,41.25957320371093,243
